program	description	title	author	real_name	source_url	kind	section	tags	collection	series
action/zakhvat.txt	action/zakhvat.md	zakhvat	А. Пирожков		https://lordbss.narod.ru/pmk101.html	game	action	classic	lordbss	
action/zvyozdnyy-boets-2.txt	action/zvyozdnyy-boets-2.md	zvyozdnyy boets-2	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk32.html	game	action	classic;space	lordbss	star-fighter
action/zvyozdnyy-boets-3.txt	action/zvyozdnyy-boets-3.md	zvyozdnyy boets-3	Сергей Устюгов	Евгений Кузниченко	https://lordbss.narod.ru/pmk33.html	game	action	classic;space	lordbss	star-fighter
action/zvyozdnyy-boets-4.txt	action/zvyozdnyy-boets-4.md	zvyozdnyy boets-4	Сергей Устюгов	Евгений Кузниченко	https://lordbss.narod.ru/pmk34.html	game	action	classic;space	lordbss	star-fighter
action/zvyozdnyy-boets.txt	action/zvyozdnyy-boets.md	zvyozdnyy boets	Сергей Чурсанов	Евгений Кузниченко	https://lordbss.narod.ru/pmk09.html	game	action	classic;space	lordbss	star-fighter
action/zvyozdnyy-pokhod.txt	action/zvyozdnyy-pokhod.md	zvyozdnyy pokhod	А. Лотохов		https://lordbss.narod.ru/pmk119.html	game	action	classic;space	lordbss	
adventure/avantyurist.txt	adventure/avantyurist.md	avantyurist	автор неизвестен	Евгений Кузниченко	https://lordbss.narod.ru/pmk145.html	game	adventure	classic	lordbss	
adventure/beskonechnaya-istoriya-variant.txt	adventure/beskonechnaya-istoriya-variant.md	Бесконечная история			https://xvadim.github.io/xbasoft/pmk/infinity_story.zip	game	adventure	variant		
adventure/beskonechnaya-istoriya.txt	adventure/beskonechnaya-istoriya.md	Beskonechnaya istoriya	Владимир Талалаев, Владимир Шило		https://fantlab.ru/edition387762	game	adventure	classic;magazine	tekhnika-molodezhi	
adventure/black-lord.txt	adventure/black-lord.md	Black Lord	Евгений Кузниченко	Евгений Кузниченко	https://lordbss.narod.ru/pmk67.html	game	adventure	classic;fantasy	lordbss	
adventure/brodyaga-vselennoy-2.txt	adventure/brodyaga-vselennoy-2.md	brodyaga vselennoy-2	А. Пирожков		https://lordbss.narod.ru/pmk116.html	game	adventure	classic	lordbss	universe-wanderer
adventure/brodyaga-vselennoy-3.txt	adventure/brodyaga-vselennoy-3.md	brodyaga vselennoy-3	А. Пирожков		https://lordbss.narod.ru/pmk117.html	game	adventure	classic	lordbss	universe-wanderer
